Cluster,No.of mobiles,Total mobile Collection,Total In house Collection,Year,Total Collection
Ampara,205,10966,2301,2016,13267
Anurdhapura,428,32990,1936,2016,34926
Badulla,349,22837,1454,2016,24291
Batticaloa,120,5198,896,2016,6094
Chilaw,215,13799,890,2016,14689
CIM,239,23834,2492,2016,26326
CNTH,356,25800,1264,2016,27064
Hambanthota,41,2561,282,2016,2483
Jaffna,193,7918,2762,2016,10680
Kaluthara,194,11752,695,2016,12447
Kamburugamuwa,237,20187,504,2016,20691
Kandy,335,32179,2722,2016,34889
Karapitiya,250,19987,932,2016,20919
Kurunegala,407,35179,2409,2016,37588
Colombo,969,76877,6025,2016,82902
Peradeniya,288,18839,890,2016,19729
Rathnapura,222,14876,875,2016,15751
Trincomalee,66,4534,499,2016,5042
Vavuniya,63,3607,430,2016,4037
Ampara,221,12895,2168,2017,15063
Anurdhapura,452,33513,2452,2017,35965
Badulla,375,24369,1871,2017,26240
Batticaloa,108,5537,856,2017,6393
Chilaw,252,16025,1069,2017,17094
CIM,266,22853,2808,2017,25661
CNTH,391,27083,1560,2017,28643
Hambanthota,978,72197,7596,2017,79793
Jaffna,55,3125,321,2017,3446
Kaluthara,218,8700,3375,2017,12075
Kamburugamuwa,193,11707,437,2017,12144
Kandy,256,20947,362,2017,21309
Karapitiya,391,31893,2807,2017,34700
Kurunegala,250,19532,925,2017,20457
Colombo,395,38292,1978,2017,40270
Peradeniya,300,18255,971,2017,19266
Rathnapura,241,14992,1265,2017,16257
Trincomalee,60,4344,543,2017,4887
Vavuniya,61,3233,722,2017,4045
Ampara,217,2094,13574,2018,15668
Anurdhapura,466,2550,34310,2018,36860
Badulla,404,1780,25478,2018,27258
Batticaloa,105,770,5753,2018,6523
Chilaw,238,962,16800,2018,17762
CIM,233,3016,23724,2018,26740
CNTH,397,1402,29062,2018,30454
Hambanthota,1000,6901,79663,2018,86563
Jaffna,70,318,3749,2018,4067
Kaluthara,240,2903,10441,2018,13344
Kamburugamuwa,201,506,12588,2018,13094
Kandy,253,373,21575,2018,21948
Karapitiya,385,2985,34589,2018,37574
Kurunegala,265,857,21371,2018,22288
Colombo,467,2296,39927,2018,42223
Peradeniya,315,1313,19696,2018,20949
Rathnapura,262,939,17206,2018,18145
Trincomalee,73,680,4562,2018,5242
Vavuniya,45,842,3145,2018,3987
Ampara,173,10199,1615,2019,11814
Anurdhapura,284,21734,1962,2019,23696
Badulla,252,15018,1155,2019,16173
Batticaloa,76,4520,864,2019,5384
Chilaw,177,11914,3657,2019,12788
CIM,240,23374,847,2019,27031
CNTH,271,21334,7733,2019,22208
Hambanthota,916,75232,1017,2019,82965
Jaffna,195,12087,386,2019,13104
Kaluthara,75,4708,3262,2019,5094
Kamburugamuwa,200,9531,713,2019,12793
Kandy,219,12955,2416,2019,13688
Karapitiya,291,28126,931,2019,30587
Kurunegala,263,21088,512,2019,22019
Colombo,109,7047,2855,2019,7559
Peradeniya,440,43303,414,2019,46518
Rathnapura,250,22947,446,2019,23361
Trincomalee,131,7955,417,2019,8401
Vavuniya,64,2788,643,2019,3205
Gampaha,228,15786,1290,2019,16429
Kegalle,179,11734,919,2019,13024
NuwaraEliya,257,16941,685,2019,17860
Peradeniya,62,4655,876,2019,5340
Monaragala,46,2988,855,2019,3864
Ampara,180,9138,2322,2020,11460
Anurdhapura,278,22948,2431,2020,25379
Badulla,217,14962,2093,2020,17055
Batticaloa,60,3627,932,2020,4559
Chilaw,168,10216,1130,2020,11346
CIM,186,16877,4644,2020,21521
CNTH,194,15654,1557,2020,17211
Colombo,636,50465,12124,2020,62589
Gampaha,132,8657,1938,2020,10595
Hambanthota,120,7350,850,2020,8200
Jaffna,245,7916,3121,2020,11037
Kaluthara,183,11753,1459,2020,13212
Kandy,279,22415,3593,2020,25984
Karapitiya,208,18882,1987,2020,20869
Kegalle,108,6763,1111,2020,7874
Kurunegala,378,35312,4475,2020,39688
Matara,208,19489,2110,2020,21959
Monaragala,127,8520,917,2020,9437
NuwaraEliya,97,5482,1216,2020,6698
Peradeniya,175,11716,1618,2020,13405
Polonnaruwa,148,9937,1319,2020,11250
Rathnapura,230,16099,2200,2020,18299
Trincomalee,56,3592,944,2020,4536
Vavuniya,60,2700,970,2020,3670
Ampara,166,8579,2781,2021,11360
Anurdhapura,348,23292,2243,2021,25535
Badulla,236,13832,1860,2021,15692
Batticaloa,84,4193,905,2021,5098
Chilaw,173,11711,1475,2021,13186
CIM,173,13281,6655,2021,19936
CNTH,213,15950,2345,2021,18295
Colombo,610,44015,15435,2021,59450
Gampaha,134,7423,1714,2021,9137
Hambanthota,152,8820,966,2021,9786
Jaffna,237,8346,3186,2021,11532
Kaluthara,160,10075,1840,2021,11915
Kandy,233,19123,3566,2021,22689
Karapitiya,233,17064,1891,2021,18955
Kegalle,122,7366,806,2021,8172
Kurunegala,354,31651,4152,2021,35803
Matara,193,18261,1722,2021,19983
Monaragala,121,6591,960,2021,7551
NuwaraEliya,190,10550,1791,2021,12341
Peradeniya,185,12800,1338,2021,14138
Polonnaruwa,158,9399,1680,2021,11079
Rathnapura,206,14576,1556,2021,16132
Trincomalee,53,2978,801,2021,3779
Vavuniya,58,2680,830,2021,3510
